Sexo;Duración;Destino;Tipo de dato;Periodo;Total
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2020;14,55
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2019;19,69
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2018;18,99
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2017;15,56
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2016;14,73
Hombres;Total;España y extranjero;Porcentaje sobre personas de la categoría;2015;13,89
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2023;13,27
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2022;9,98
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2021;5,48
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2020;11,2
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2019;13,94
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2018;13,93
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2017;11,69
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2016;11,08
Hombres;Total;España y extranjero;Porcentaje sobre el total de viajeros;2015;10,91
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2023;54,31
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2022;50,99
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2021;40,53
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2020;49,08
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2019;53,54
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2018;49,68
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2017;51,47
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2016;47,27
Hombres;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2015;46,77
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2023;38,66
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2022;37,92
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2021;37,09
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2020;37,77
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2019;37,9
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2018;36,44
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2017;38,68
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2016;35,55
Hombres;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2015;36,75
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;34,98
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2022;36,82
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2021;34,11
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2020;34,32
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2019;33,62
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2018;31,03
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2017;35,11
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2016;32,69
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2015;32,74
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2023;24,9
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2022;27,38
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2021;31,22
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2020;26,41
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2019;23,8
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2018;22,76
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2017;26,39
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2016;24,59
Hombres;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2015;25,73
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2023;2,06
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2022;1,44
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2021;1,02
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2020;1,52
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2019;2,11
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2018;1,8
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2017;1,84
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2016;1,28
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre personas de la categoría;2015;1,5
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2023;1,47
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2022;1,07
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2021;0,93
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2020;1,17
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2019;1,49
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2018;1,32
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2017;1,39
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2016;0,96
Hombres;De 1 a 3 noches;Solo extranjero;Porcentaje sobre el total de viajeros;2015;1,18
