País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Francia;13 Madrid, Comunidad de;Dato base;Gasto total;2018;384,01
Francia;13 Madrid, Comunidad de;Dato base;Gasto total;2017;364,26
Francia;13 Madrid, Comunidad de;Dato base;Gasto total;2016;378,41
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2023;869
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2022;839
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2021;926
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2020;679
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2019;704
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2018;642
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2017;607
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio por persona;2016;623
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2023;170
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2022;178
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2021;144
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2020;124
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2019;157
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2018;132
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2017;124
Francia;13 Madrid, Comunidad de;Dato base;Gasto medio diario por persona;2016;105
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2023;5,11
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2022;4,73
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2021;6,42
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2020;5,48
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2019;4,47
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2018;4,85
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2017;4,9
Francia;13 Madrid, Comunidad de;Dato base;Duración media de los viajes;2016;5,91
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2023;12,8
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2022;82,49
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2021;122,46
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2020;-71,27
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2019;4,74
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2018;5,42
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2017;-3,74
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto total;2016;15,31
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2023;3,53
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2022;-9,38
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2021;36,32
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2020;-3,5
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2019;9,59
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2018;5,84
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2017;-2,66
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio por persona;2016;1,23
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2023;-4,22
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2022;23,12
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2021;16,27
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2020;-21,22
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2019;18,88
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2018;6,97
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2017;17,38
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Gasto medio diario por persona;2016;-6,07
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2023;8,09
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2022;-26,4
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2021;17,25
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2020;22,49
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2019;-7,81
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2018;-1,05
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2017;-17,07
Francia;13 Madrid, Comunidad de;Tasa de variación anual;Duración media de los viajes;2016;7,77
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2023;1.243,86
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2022;935,48
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2021;465,85
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2020;381,1
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2019;924,51
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2018;934,36
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2017;970,45
Francia;Otras Comunidades Autónomas;Dato base;Gasto total;2016;863,14
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2023;493
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2022;494
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2021;425
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2020;383
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2019;409
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2018;402
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2017;423
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio por persona;2016;385
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2023;98
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2022;98
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2021;76
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2020;67
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2019;76
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2018;71
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2017;74
Francia;Otras Comunidades Autónomas;Dato base;Gasto medio diario por persona;2016;66
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2023;5,01
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2022;5,02
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2021;5,55
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2020;5,71
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2019;5,39
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2018;5,68
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2017;5,74
Francia;Otras Comunidades Autónomas;Dato base;Duración media de los viajes;2016;5,84
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2023;32,97
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2022;100,81
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2021;22,24
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2020;-58,78
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2019;-1,05
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2018;-3,72
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2017;12,43
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto total;2016;7,32
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2023;-0,08
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2022;16,19
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2021;10,85
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2020;-6,35
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2019;1,77
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2018;-4,83
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2017;9,7
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio por persona;2016;4,75
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2023;0,16
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2022;28,56
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2021;13,95
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2020;-11,67
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2019;7,43
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2018;-3,93
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2017;11,7
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Gasto medio diario por persona;2016;0,94
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2023;-0,23
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2022;-9,62
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2021;-2,72
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2020;6,03
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2019;-5,26
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2018;-0,94
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2017;-1,79
Francia;Otras Comunidades Autónomas;Tasa de variación anual;Duración media de los viajes;2016;3,77
Italia;Total;Dato base;Gasto total;2023;4.306,3
Italia;Total;Dato base;Gasto total;2022;3.542,37
Italia;Total;Dato base;Gasto total;2021;1.498,08
Italia;Total;Dato base;Gasto total;2020;758,09
Italia;Total;Dato base;Gasto total;2019;3.550,91
Italia;Total;Dato base;Gasto total;2018;3.366,75
Italia;Total;Dato base;Gasto total;2017;3.241,5
Italia;Total;Dato base;Gasto total;2016;3.023,27
Italia;Total;Dato base;Gasto medio por persona;2023;888
Italia;Total;Dato base;Gasto medio por persona;2022;883
Italia;Total;Dato base;Gasto medio por persona;2021;879
Italia;Total;Dato base;Gasto medio por persona;2020;800
Italia;Total;Dato base;Gasto medio por persona;2019;783
Italia;Total;Dato base;Gasto medio por persona;2018;767
Italia;Total;Dato base;Gasto medio por persona;2017;768
Italia;Total;Dato base;Gasto medio por persona;2016;762
Italia;Total;Dato base;Gasto medio diario por persona;2023;144
Italia;Total;Dato base;Gasto medio diario por persona;2022;136
Italia;Total;Dato base;Gasto medio diario por persona;2021;125
Italia;Total;Dato base;Gasto medio diario por persona;2020;120
Italia;Total;Dato base;Gasto medio diario por persona;2019;130
Italia;Total;Dato base;Gasto medio diario por persona;2018;127
Italia;Total;Dato base;Gasto medio diario por persona;2017;117
Italia;Total;Dato base;Gasto medio diario por persona;2016;109
Italia;Total;Dato base;Duración media de los viajes;2023;6,17
Italia;Total;Dato base;Duración media de los viajes;2022;6,48
Italia;Total;Dato base;Duración media de los viajes;2021;7,01
Italia;Total;Dato base;Duración media de los viajes;2020;6,64
Italia;Total;Dato base;Duración media de los viajes;2019;6,02
Italia;Total;Dato base;Duración media de los viajes;2018;6,04
Italia;Total;Dato base;Duración media de los viajes;2017;6,58
Italia;Total;Dato base;Duración media de los viajes;2016;6,98
Italia;Total;Tasa de variación anual;Gasto total;2023;21,57
Italia;Total;Tasa de variación anual;Gasto total;2022;136,46
Italia;Total;Tasa de variación anual;Gasto total;2021;97,61
Italia;Total;Tasa de variación anual;Gasto total;2020;-78,65
Italia;Total;Tasa de variación anual;Gasto total;2019;5,47
Italia;Total;Tasa de variación anual;Gasto total;2018;3,86
Italia;Total;Tasa de variación anual;Gasto total;2017;7,22
Italia;Total;Tasa de variación anual;Gasto total;2016;3,76
Italia;Total;Tasa de variación anual;Gasto medio por persona;2023;0,54
Italia;Total;Tasa de variación anual;Gasto medio por persona;2022;0,42
Italia;Total;Tasa de variación anual;Gasto medio por persona;2021;9,91
Italia;Total;Tasa de variación anual;Gasto medio por persona;2020;2,18
Italia;Total;Tasa de variación anual;Gasto medio por persona;2019;2,1
Italia;Total;Tasa de variación anual;Gasto medio por persona;2018;-0,08
Italia;Total;Tasa de variación anual;Gasto medio por persona;2017;0,78
Italia;Total;Tasa de variación anual;Gasto medio por persona;2016;-1,44
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2023;5,6
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2022;8,62
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2021;4,12
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2020;-7,35
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2019;2,37
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2018;8,87
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2017;6,86
Italia;Total;Tasa de variación anual;Gasto medio diario por persona;2016;0,08
Italia;Total;Tasa de variación anual;Duración media de los viajes;2023;-4,78
Italia;Total;Tasa de variación anual;Duración media de los viajes;2022;-7,55
Italia;Total;Tasa de variación anual;Duración media de los viajes;2021;5,56
Italia;Total;Tasa de variación anual;Duración media de los viajes;2020;10,28
Italia;Total;Tasa de variación anual;Duración media de los viajes;2019;-0,27
Italia;Total;Tasa de variación anual;Duración media de los viajes;2018;-8,22
Italia;Total;Tasa de variación anual;Duración media de los viajes;2017;-5,69
Italia;Total;Tasa de variación anual;Duración media de los viajes;2016;-1,52
Italia;01 Andalucía;Dato base;Gasto total;2023;579,81
Italia;01 Andalucía;Dato base;Gasto total;2022;436,92
Italia;01 Andalucía;Dato base;Gasto total;2021;174,38
Italia;01 Andalucía;Dato base;Gasto total;2020;108,94
Italia;01 Andalucía;Dato base;Gasto total;2019;438,24
Italia;01 Andalucía;Dato base;Gasto total;2018;443,44
Italia;01 Andalucía;Dato base;Gasto total;2017;402,6
Italia;01 Andalucía;Dato base;Gasto total;2016;352,39
Italia;01 Andalucía;Dato base;Gasto medio por persona;2023;860
Italia;01 Andalucía;Dato base;Gasto medio por persona;2022;880
Italia;01 Andalucía;Dato base;Gasto medio por persona;2021;862
Italia;01 Andalucía;Dato base;Gasto medio por persona;2020;883
Italia;01 Andalucía;Dato base;Gasto medio por persona;2019;813
Italia;01 Andalucía;Dato base;Gasto medio por persona;2018;780
Italia;01 Andalucía;Dato base;Gasto medio por persona;2017;873
Italia;01 Andalucía;Dato base;Gasto medio por persona;2016;810
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2023;129
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2022;120
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2021;100
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2020;99
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2019;113
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2018;120
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2017;99
Italia;01 Andalucía;Dato base;Gasto medio diario por persona;2016;93
Italia;01 Andalucía;Dato base;Duración media de los viajes;2023;6,67
Italia;01 Andalucía;Dato base;Duración media de los viajes;2022;7,36
Italia;01 Andalucía;Dato base;Duración media de los viajes;2021;8,62
Italia;01 Andalucía;Dato base;Duración media de los viajes;2020;8,91
Italia;01 Andalucía;Dato base;Duración media de los viajes;2019;7,21
Italia;01 Andalucía;Dato base;Duración media de los viajes;2018;6,48
Italia;01 Andalucía;Dato base;Duración media de los viajes;2017;8,85
Italia;01 Andalucía;Dato base;Duración media de los viajes;2016;8,72
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2023;32,7
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2022;150,56
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2021;60,07
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2020;-75,14
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2019;-1,17
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2018;10,15
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2017;14,25
Italia;01 Andalucía;Tasa de variación anual;Gasto total;2016;11,88
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2023;-2,25
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2022;2,05
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2021;-2,38
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2020;8,66
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2019;4,28
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2018;-10,71
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2017;7,81
Italia;01 Andalucía;Tasa de variación anual;Gasto medio por persona;2016;-2,06
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2023;7,8
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2022;19,56
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2021;0,9
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2020;-12,01
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2019;-6,26
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2018;21,86
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2017;6,28
Italia;01 Andalucía;Tasa de variación anual;Gasto medio diario por persona;2016;-9,02
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2023;-9,32
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2022;-14,65
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2021;-3,25
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2020;23,5
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2019;11,24
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2018;-26,73
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2017;1,44
Italia;01 Andalucía;Tasa de variación anual;Duración media de los viajes;2016;7,65
Italia;04 Balears, Illes;Dato base;Gasto total;2023;783,21
Italia;04 Balears, Illes;Dato base;Gasto total;2022;684,29
Italia;04 Balears, Illes;Dato base;Gasto total;2021;267,27
Italia;04 Balears, Illes;Dato base;Gasto total;2020;109,21
Italia;04 Balears, Illes;Dato base;Gasto total;2019;702,4
Italia;04 Balears, Illes;Dato base;Gasto total;2018;719,94
Italia;04 Balears, Illes;Dato base;Gasto total;2017;675,83
Italia;04 Balears, Illes;Dato base;Gasto total;2016;611,53
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2023;994
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2022;928
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2021;906
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2020;953
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2019;965
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2018;957
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2017;905
Italia;04 Balears, Illes;Dato base;Gasto medio por persona;2016;891
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2023;156
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2022;150
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2021;132
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2020;125
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2019;147
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2018;132
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2017;125
Italia;04 Balears, Illes;Dato base;Gasto medio diario por persona;2016;126
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2023;6,38
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2022;6,18
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2021;6,84
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2020;7,63
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2019;6,55
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2018;7,27
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2017;7,23
Italia;04 Balears, Illes;Dato base;Duración media de los viajes;2016;7,1
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2023;14,45
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2022;156,03
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2021;144,73
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2020;-84,45
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2019;-2,44
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2018;6,53
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2017;10,51
Italia;04 Balears, Illes;Tasa de variación anual;Gasto total;2016;3,97
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2023;7,11
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2022;2,4
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2021;-4,96
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2020;-1,15
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2019;0,81
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2018;5,72
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2017;1,52
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio por persona;2016;-0,37
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2023;3,73
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2022;13,41
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2021;5,99
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2020;-15,12
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2019;11,83
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2018;5,18
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2017;-0,31
Italia;04 Balears, Illes;Tasa de variación anual;Gasto medio diario por persona;2016;7,55
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2023;3,26
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2022;-9,71
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2021;-10,33
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2020;16,46
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2019;-9,85
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2018;0,51
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2017;1,83
Italia;04 Balears, Illes;Tasa de variación anual;Duración media de los viajes;2016;-7,37
Italia;05 Canarias;Dato base;Gasto total;2023;806,68
Italia;05 Canarias;Dato base;Gasto total;2022;681,67
Italia;05 Canarias;Dato base;Gasto total;2021;354,36
Italia;05 Canarias;Dato base;Gasto total;2020;155,95
Italia;05 Canarias;Dato base;Gasto total;2019;501,5
Italia;05 Canarias;Dato base;Gasto total;2018;541,02
Italia;05 Canarias;Dato base;Gasto total;2017;563,44
Italia;05 Canarias;Dato base;Gasto total;2016;479,71
Italia;05 Canarias;Dato base;Gasto medio por persona;2023;1.401
Italia;05 Canarias;Dato base;Gasto medio por persona;2022;1.294
Italia;05 Canarias;Dato base;Gasto medio por persona;2021;1.312
Italia;05 Canarias;Dato base;Gasto medio por persona;2020;1.189
Italia;05 Canarias;Dato base;Gasto medio por persona;2019;1.271
Italia;05 Canarias;Dato base;Gasto medio por persona;2018;1.192
Italia;05 Canarias;Dato base;Gasto medio por persona;2017;1.183
Italia;05 Canarias;Dato base;Gasto medio por persona;2016;1.117
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2023;143
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2022;143
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2021;144
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2020;135
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2019;133
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2018;132
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2017;128
Italia;05 Canarias;Dato base;Gasto medio diario por persona;2016;118
Italia;05 Canarias;Dato base;Duración media de los viajes;2023;9,82
Italia;05 Canarias;Dato base;Duración media de los viajes;2022;9,04
Italia;05 Canarias;Dato base;Duración media de los viajes;2021;9,13
Italia;05 Canarias;Dato base;Duración media de los viajes;2020;8,83
Italia;05 Canarias;Dato base;Duración media de los viajes;2019;9,58
Italia;05 Canarias;Dato base;Duración media de los viajes;2018;9,06
Italia;05 Canarias;Dato base;Duración media de los viajes;2017;9,26
Italia;05 Canarias;Dato base;Duración media de los viajes;2016;9,46
Italia;05 Canarias;Tasa de variación anual;Gasto total;2023;18,34
Italia;05 Canarias;Tasa de variación anual;Gasto total;2022;92,36
Italia;05 Canarias;Tasa de variación anual;Gasto total;2021;127,23
Italia;05 Canarias;Tasa de variación anual;Gasto total;2020;-68,9
Italia;05 Canarias;Tasa de variación anual;Gasto total;2019;-7,3
Italia;05 Canarias;Tasa de variación anual;Gasto total;2018;-3,98
Italia;05 Canarias;Tasa de variación anual;Gasto total;2017;17,46
Italia;05 Canarias;Tasa de variación anual;Gasto total;2016;14,13
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2023;8,3
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2022;-1,34
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2021;10,34
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2020;-6,45
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2019;6,57
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2018;0,75
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2017;5,95
Italia;05 Canarias;Tasa de variación anual;Gasto medio por persona;2016;-4,97
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2023;-0,31
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2022;-0,41
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2021;6,71
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2020;1,57
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2019;0,75
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2018;2,93
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2017;8,28
Italia;05 Canarias;Tasa de variación anual;Gasto medio diario por persona;2016;1,73
Italia;05 Canarias;Tasa de variación anual;Duración media de los viajes;2023;8,64
Italia;05 Canarias;Tasa de variación anual;Duración media de los viajes;2022;-0,93
Italia;05 Canarias;Tasa de variación anual;Duración media de los viajes;2021;3,4
Italia;05 Canarias;Tasa de variación anual;Duración media de los viajes;2020;-7,9
Italia;05 Canarias;Tasa de variación anual;Duración media de los viajes;2019;5,78
