País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2021;97
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2020;95
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2019;108
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2018;98
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2017;96
Total;10 Comunitat Valenciana;Dato base;Gasto medio diario por persona;2016;91
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2023;9,42
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2022;9,89
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2021;11,18
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2020;10,24
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2019;9,28
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2018;9,93
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2017;9,99
Total;10 Comunitat Valenciana;Dato base;Duración media de los viajes;2016;10,57
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2023;23,84
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2022;131,08
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2021;76,98
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2020;-74,14
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2019;7,1
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2018;4,59
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2017;14,68
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto total;2016;16,59
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2023;1,87
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2022;7,8
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2021;11,95
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2020;-3,02
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2019;3,41
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2018;1,39
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2017;-0,67
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio por persona;2016;-0,88
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2023;6,9
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2022;21,89
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2021;2,55
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2020;-12,12
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2019;10,67
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2018;1,96
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2017;5,1
Total;10 Comunitat Valenciana;Tasa de variación anual;Gasto medio diario por persona;2016;-1,92
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2023;-4,7
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2022;-11,56
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2021;9,17
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2020;10,35
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2019;-6,56
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2018;-0,55
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2017;-5,48
Total;10 Comunitat Valenciana;Tasa de variación anual;Duración media de los viajes;2016;1,06
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2023;13.329,68
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2022;9.630,12
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2021;3.112,63
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2020;2.312,51
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2019;10.453,73
Total;13 Madrid, Comunidad de;Dato base;Gasto total;2018;9.282,85
